title,runtimeMinutes,genres,averageRating,numVotes,director,writer,releaseDate,productionBudget,domesticGross,worldwideGross,releaseYear,releaseMonth,releaseDay
The White Countess,135,"Drama,History,Romance",6.5,6947,James Ivory,Kazuo Ishiguro,"Dec 21, 2005",16000000,1669971,2814566,2005,12,21
In Good Company,110,"Comedy,Drama,Romance",6.5,56406,Paul Weitz,Paul Weitz,"Dec 29, 2004",26000000,45489752,63463195,2004,12,29
L'incomparable mademoiselle C.,103,Comedy,5.9,137,Richard Ciupka,Dominique Demers,"Apr 23, 2004",3400000,493905,493905,2004,4,23
Sicko,123,"Documentary,Drama",8.0,76727,Michael Moore,Michael Moore,"Jun 22, 2007",9000000,24538513,36535837,2007,6,22
Hitch,118,"Comedy,Romance",6.6,333869,Andy Tennant,Kevin Bisch,"Feb 11, 2005",55000000,177784257,366784257,2005,2,11
Seed of Chucky,87,"Comedy,Horror,Thriller",4.9,49560,Don Mancini,Don Mancini,"Nov 12, 2004",29000000,17016190,24716190,2004,11,12
Caché,117,"Drama,Mystery,Thriller",7.3,84754,Michael Haneke,Michael Haneke,"Dec 23, 2005",8000000,3647381,19891331,2005,12,23
King of California,93,"Comedy,Drama",6.6,23576,M. Cahill,M. Cahill,"Sep 14, 2007",10000000,268461,1165102,2007,9,14
King's Ransom,95,"Comedy,Crime",4.4,3905,Jeffrey W. Byrd,Wayne Conley,"Apr 22, 2005",25000000,4008527,4049527,2005,4,22
The Greatest Game Ever Played,120,"Biography,Drama,Sport",7.4,33216,Bill Paxton,Mark Frost,"Sep 30, 2005",25000000,15331289,15468266,2005,9,30
Maria Full of Grace,101,"Crime,Drama",7.4,36090,Joshua Marston,Joshua Marston,"Jul 16, 2004",3200000,6529624,14441158,2004,7,16
Primer,77,"Drama,Sci-Fi,Thriller",6.7,113563,Shane Carruth,Shane Carruth,"Oct 8, 2004",7000,424760,841926,2004,10,8
Super Size Me,100,Documentary,7.2,112904,Morgan Spurlock,Morgan Spurlock,"May 7, 2004",65000,11529368,22233808,2004,5,7
A Lot Like Love,107,"Comedy,Drama,Romance",6.6,71066,Nigel Cole,Colin Patrick Lynch,"Apr 22, 2005",25000000,21835784,41921590,2005,4,22
Steel Spirit,90,Action,7.5,25,Steven J. Pershing,Steven J. Pershing,"Jan 11, 2002",20000,1860,1860,2002,1,11
The Skeleton Key,104,"Drama,Horror,Mystery",6.5,122316,Iain Softley,Ehren Kruger,"Aug 12, 2005",40000000,47907715,92256918,2005,8,12
Lord of War,122,"Crime,Drama",7.6,335086,Andrew Niccol,Andrew Niccol,"Sep 16, 2005",42000000,24149632,60437727,2005,9,16
The Dark Hours,80,"Horror,Thriller",6.0,5572,Paul Fox,Wil Zmak,"Oct 13, 2005",400000,423,423,2005,10,13
The New World,135,"Biography,Drama,History",6.7,89399,Terrence Malick,Terrence Malick,"Dec 25, 2005",30000000,12712093,26184400,2005,12,25
Roll Bounce,112,"Comedy,Drama,Music",6.2,7800,Malcolm D. Lee,Norman Vance Jr.,"Sep 23, 2005",10000000,17380866,17433072,2005,9,23
Running Scared,122,"Action,Crime,Drama",7.3,103351,Wayne Kramer,Wayne Kramer,"Feb 24, 2006",17000000,6855137,9729088,2006,2,24
The Guardian,139,"Action,Adventure,Drama",6.9,97647,Andrew Davis,Ron L. Brinkerhoff,"Sep 29, 2006",70000000,55011732,94973540,2006,9,29
The Guardian,90,Horror,4.3,26,Mark J. Doddy,Lia Scott Price,"Sep 29, 2006",70000000,55011732,94973540,2006,9,29
Firewall,105,"Action,Crime,Thriller",5.8,59484,Richard Loncraine,Joe Forte,"Feb 10, 2006",50000000,48751189,82751189,2006,2,10
Hustle & Flow,116,"Crime,Drama,Music",7.3,43044,Craig Brewer,Craig Brewer,"Jul 22, 2005",2800000,22202809,23591783,2005,7,22
The World's Fastest Indian,127,"Biography,Drama,Sport",7.8,58095,Roger Donaldson,Roger Donaldson,"Oct 13, 2005",25000000,5128124,18991288,2005,10,13
Keeping Up with the Steins,90,Comedy,5.4,3309,Scott Marshall,Mark Zakarin,"May 12, 2006",5000000,4339241,4414753,2006,5,12
Me and You and Everyone We Know,91,"Comedy,Drama",7.2,37330,Miranda July,Miranda July,"Jun 17, 2005",2000000,3885134,9615464,2005,6,17
Wolf Creek,99,"Horror,Thriller",6.2,77828,Greg McLean,Greg McLean,"Nov 3, 2005",1100000,16186348,29005064,2005,11,3
Match Point,124,"Drama,Romance,Thriller",7.6,227229,Woody Allen,Woody Allen,"Dec 28, 2005",15000000,23089926,87950928,2005,12,28
Idlewild,121,"Crime,Drama,Musical",6.2,5740,Bryan Barber,Bryan Barber,"Aug 25, 2006",15000000,12669914,12669914,2006,8,25
Junebug,106,"Comedy,Drama",6.9,23380,Phil Morrison,Angus MacLachlan,"Aug 3, 2005",1000000,2678010,3553253,2005,8,3
In the Land of Women,97,"Comedy,Drama,Romance",6.4,32594,Jonathan Kasdan,Jonathan Kasdan,"Apr 20, 2007",10500000,11052958,14140402,2007,4,20
Stranger Than Fiction,113,"Comedy,Drama,Fantasy",7.5,235895,Marc Forster,Zach Helm,"Nov 10, 2006",30000000,40435190,53572822,2006,11,10
Veer-Zaara,192,"Drama,Family,Musical",7.8,57192,Yash Chopra,Aditya Chopra,"Nov 12, 2004",7000000,2938532,7017859,2004,11,12
Royal Kill,90,"Action,Thriller",3.1,805,Bob Ahmed,Bob Ahmed,"Apr 10, 2009",350000,0,0,2009,4,10
Diary of a Mad Black Woman,116,"Comedy,Drama,Romance",5.7,15772,Darren Grant,Tyler Perry,"Feb 25, 2005",5500000,50406346,50458356,2005,2,25
Marie Antoinette,123,"Biography,Drama,History",6.5,120856,Sofia Coppola,Sofia Coppola,"Oct 20, 2006",40000000,15962471,60862471,2006,10,20
Sherrybaby,96,Drama,6.6,12044,Laurie Collyer,Laurie Collyer,"Sep 8, 2006",2000000,199176,759504,2006,9,8
Clerks II,97,Comedy,7.3,140300,Kevin Smith,Kevin Smith,"Jul 21, 2006",5000000,24148068,27342246,2006,7,21
Lucky Number Slevin,110,"Crime,Drama,Thriller",7.7,324634,Paul McGuigan,Jason Smilovic,"Apr 7, 2006",27000000,22495466,55495466,2006,4,7
Superhero Movie,75,"Action,Comedy,Sci-Fi",4.7,74897,Craig Mazin,Craig Mazin,"Mar 28, 2008",35000000,26638520,73026302,2008,3,28
Guiana 1838,120,Drama,7.0,81,Rohit Jagessar,Rohit Jagessar,"Sep 24, 2004",1000000,227241,227241,2004,9,24
Get Rich or Die Tryin',117,"Biography,Crime,Drama",5.5,49930,Jim Sheridan,Terence Winter,"Nov 9, 2005",40000000,30981850,46666955,2005,11,9
Stick It,103,"Comedy,Drama,Sport",6.4,30322,Jessica Bendinger,Jessica Bendinger,"Apr 28, 2006",20000000,26910736,30399714,2006,4,28
The Kingdom,110,"Action,Drama,Thriller",7.0,131884,Peter Berg,Matthew Michael Carnahan,"Sep 28, 2007",72500000,47467250,86802457,2007,9,28
Resident Evil: Extinction,94,"Action,Horror,Sci-Fi",6.2,204548,Russell Mulcahy,Paul W.S. Anderson,"Sep 21, 2007",45000000,50648679,149871103,2007,9,21
Undiscovered,97,"Comedy,Music,Romance",4.2,2921,Meiert Avis,John Galt,"Aug 26, 2005",9000000,1069318,1069318,2005,8,26
Friends with Money,88,"Comedy,Drama,Romance",5.8,32031,Nicole Holofcener,Nicole Holofcener,"Apr 7, 2006",6500000,13368437,18110152,2006,4,7
The Queen,103,"Biography,Drama",7.3,115654,Stephen Frears,Peter Morgan,"Sep 15, 2006",15000000,56441711,128885873,2006,9,15
See No Evil,84,"Action,Horror,Thriller",5.0,28693,Gregory Dark,Dan Madigan,"May 19, 2006",8000000,15032800,18828036,2006,5,19
Catch a Fire,101,"Biography,Drama,History",6.7,11016,Phillip Noyce,Shawn Slovo,"Oct 27, 2006",14000000,4299773,5782198,2006,10,27
Akeelah and the Bee,112,"Drama,Family",7.4,21505,Doug Atchison,Doug Atchison,"Apr 28, 2006",8000000,18848430,18959424,2006,4,28
Mad Hot Ballroom,105,"Documentary,Family,Music",7.4,3547,Marilyn Agrelo,Amy Sewell,"May 13, 2005",500000,8117961,9387581,2005,5,13
Side Effects,90,"Comedy,Drama,Romance",4.9,1149,Kathleen Slattery-Moschkau,Kathleen Slattery-Moschkau,"Sep 9, 2005",200000,44701,44701,2005,9,9
Slither,95,"Comedy,Horror,Sci-Fi",6.5,88412,James Gunn,James Gunn,"Mar 31, 2006",15250000,7802450,12930343,2006,3,31
Volver,121,"Comedy,Drama",7.6,107055,Pedro Almodóvar,Pedro Almodóvar,"Jul 6, 2006",9400000,12899867,87226613,2006,7,6
Dil Jo Bhi Kahey...,144,"Drama,Romance",4.6,380,Romesh Sharma,Romesh Sharma,"Sep 23, 2005",1600000,129319,129319,2005,9,23
Vantage Point,90,"Action,Crime,Drama",6.6,153805,Pete Travis,Barry L. Levy,"Feb 22, 2008",40000000,72266306,150886329,2008,2,22
Invincible,105,"Biography,Drama,Sport",7.0,75033,Ericson Core,Brad Gann,"Aug 25, 2006",40000000,57806952,58501127,2006,8,25
Take the Lead,118,"Drama,Music",6.6,26591,Liz Friedlander,Dianne Houston,"Apr 7, 2006",30000000,34742066,65390493,2006,4,7
Driving Lessons,98,"Comedy,Drama",6.6,11013,Jeremy Brock,Jeremy Brock,"Oct 13, 2006",4700000,239962,239962,2006,10,13
Sunshine,107,"Sci-Fi,Thriller",7.2,265643,Danny Boyle,Alex Garland,"Apr 12, 2007",40000000,3688560,32030610,2007,4,12
16 Blocks,102,"Action,Drama,Thriller",6.6,134471,Richard Donner,Richard Wenk,"Mar 3, 2006",45000000,36895141,65595141,2006,3,3
Unknown,85,"Crime,Drama,Mystery",6.4,31356,Simon Brand,Matthew Waynee,"Nov 3, 2006",3700000,26403,3355048,2006,11,3
Solitude,74,Drama,9.0,15,Steve Kopera,Steve Kopera,"Jan 7, 2005",200000,6260,6260,2005,1,7
Lady in the Water,110,"Drama,Fantasy,Mystery",5.5,103383,M. Night Shyamalan,M. Night Shyamalan,"Jul 21, 2006",75000000,42285169,72785169,2006,7,21
42,128,"Biography,Drama,Sport",7.5,102038,Brian Helgeland,Brian Helgeland,"Apr 12, 2013",31000000,95020213,97470701,2013,4,12
Inside Man,129,"Crime,Drama,Mystery",7.6,395289,Spike Lee,Russell Gewirtz,"Mar 24, 2006",50000000,88634237,185798265,2006,3,24
The Pursuit of Happyness,117,"Biography,Drama",8.0,556229,Gabriele Muccino,Steve Conrad,"Dec 15, 2006",55000000,162586036,307311093,2006,12,15
Turistas,93,"Horror,Mystery,Thriller",5.4,40649,John Stockwell,Michael Arlen Ross,"Dec 1, 2006",10000000,7027762,14321070,2006,12,1
Madea's Family Reunion,107,"Comedy,Drama,Romance",5.3,11968,Tyler Perry,Tyler Perry,"Feb 24, 2006",10000000,63257940,63320521,2006,2,24
Come Early Morning,97,"Drama,Romance",6.2,2765,Joey Lauren Adams,Joey Lauren Adams,"Nov 10, 2006",6000000,119452,119452,2006,11,10
Scoop,96,"Comedy,Crime,Fantasy",6.6,87288,Woody Allen,Woody Allen,"Jul 28, 2006",4000000,10525717,40103262,2006,7,28
The Holiday,136,"Comedy,Romance",6.9,321000,Nancy Meyers,Nancy Meyers,"Dec 8, 2006",85000000,63280000,204920447,2006,12,8
Enchanted,107,"Adventure,Animation,Comedy",7.1,216259,Kevin Lima,Bill Kelly,"Nov 21, 2007",85000000,127706877,340384141,2007,11,21
The Fast and the Furious: Tokyo Drift,104,"Action,Crime,Thriller",6.0,297317,Justin Lin,Chris Morgan,"Jun 15, 2006",85000000,62615510,157794205,2006,6,15
Fuel,90,Documentary,7.3,783,Joshua Tickell,Johnny O'Hara,"Nov 14, 2008",2500000,174255,174255,2008,11,14
Fuel,87,"Drama,Romance,War",8.5,62,Michael P. Nash,Michael P. Nash,"Nov 14, 2008",2500000,174255,174255,2008,11,14
The History Boys,109,"Comedy,Drama,Romance",6.8,21370,Nicholas Hytner,Alan Bennett,"Nov 21, 2006",3700000,2730296,13447998,2006,11,21
American Dreamz,107,"Comedy,Music",5.5,25190,Paul Weitz,Paul Weitz,"Apr 21, 2006",17000000,7314027,16510971,2006,4,21
Hitman,94,"Action,Crime,Thriller",6.2,177189,Xavier Gens,Skip Woods,"Nov 21, 2007",24000000,39687694,99135571,2007,11,21
Michael Clayton,119,"Crime,Drama,Mystery",7.2,173455,Tony Gilroy,Tony Gilroy,"Oct 5, 2007",21500000,49033882,92987651,2007,10,5
Hostage,105,"Crime,Drama,Thriller",6.0,588,Constantine Giannaris,Constantine Giannaris,"Mar 11, 2005",75000000,34636443,77636443,2005,3,11
Push,111,"Action,Sci-Fi,Thriller",6.1,115287,Paul McGuigan,David Bourla,"Feb 6, 2009",38000000,31811527,49678401,2009,2,6
Shoot 'Em Up,86,"Action,Comedy,Thriller",6.6,154661,Michael Davis,Michael Davis,"Sep 7, 2007",39000000,12796824,26796824,2007,9,7
My Super Ex-Girlfriend,96,"Comedy,Romance,Sci-Fi",5.2,66813,Ivan Reitman,Don Payne,"Jul 21, 2006",30000000,22530295,60772856,2006,7,21
Margaret,150,Drama,6.5,18282,Kenneth Lonergan,Kenneth Lonergan,"Sep 30, 2011",14000000,47185,623292,2011,9,30
The Omen,110,"Drama,Fantasy,Horror",5.5,62113,John Moore,David Seltzer,"Jun 6, 2006",25000000,54607383,119295584,2006,6,6
Juno,96,"Comedy,Drama",7.4,546806,Jason Reitman,Diablo Cody,"Dec 5, 2007",7000000,143495265,231450102,2007,12,5
Things We Lost in the Fire,118,Drama,7.1,29708,Susanne Bier,Allan Loeb,"Oct 19, 2007",16000000,3287315,8120148,2007,10,19
August,88,Drama,5.3,4315,Austin Chick,Howard A. Rodman,"Jul 11, 2008",3400000,12636,12636,2008,7,11
Crossover,95,"Action,Sport",2.2,9444,Preston A. Whitmore II,Preston A. Whitmore II,"Sep 1, 2006",5600000,7009668,7009668,2006,9,1
Waitress,108,"Comedy,Drama,Romance",7.0,48660,Adrienne Shelly,Adrienne Shelly,"May 2, 2007",1500000,19097550,22217183,2007,5,2
United 93,111,"Action,Drama,History",7.6,110620,Paul Greengrass,Paul Greengrass,"Apr 28, 2006",18000000,31567134,77635035,2006,4,28
The Covenant,97,"Action,Adventure,Fantasy",5.2,51911,Renny Harlin,J.S. Cardone,"Sep 8, 2006",20000000,23364784,38164784,2006,9,8
Premonition,96,"Drama,Fantasy,Mystery",5.9,81354,Mennan Yapo,Bill Kelly,"Mar 16, 2007",20000000,47852604,84146832,2007,3,16
Unstoppable,98,"Action,Thriller",6.8,206935,Tony Scott,Mark Bomback,"Nov 12, 2010",95000000,81562942,165720921,2010,11,12
The Tree of Life,139,"Drama,Fantasy",6.8,183410,Terrence Malick,Terrence Malick,"May 27, 2011",35000000,13305665,61721826,2011,5,27
Knocked Up,129,"Comedy,Romance",6.9,383109,Judd Apatow,Judd Apatow,"Jun 1, 2007",27500000,148761765,219265952,2007,6,1
Rocky Balboa,102,"Action,Drama,Sport",7.1,230533,Sylvester Stallone,Sylvester Stallone,"Dec 20, 2006",24000000,70269899,156229050,2006,12,20
Season of the Witch,95,"Action,Adventure,Fantasy",5.4,97935,Dominic Sena,Bragi F. Schut,"Jan 7, 2011",40000000,24827228,91126600,2011,1,7
The Number 23,98,"Crime,Mystery,Thriller",6.4,211808,Joel Schumacher,Fernley Phillips,"Feb 23, 2007",32000000,35193167,77593167,2007,2,23
Miss Potter,88,"Biography,Drama,Romance",7.0,31703,Chris Noonan,Richard Maltby Jr.,"Dec 29, 2006",30000000,3005605,35891257,2006,12,29
The Strangers,86,"Horror,Mystery,Thriller",6.1,142217,Bryan Bertino,Bryan Bertino,"May 30, 2008",9000000,52597610,83051676,2008,5,30
Doomsday,113,"Action,Sci-Fi,Thriller",5.9,79679,Neil Marshall,Neil Marshall,"Mar 14, 2008",33000000,11008770,21621188,2008,3,14
Man of the Year,115,"Comedy,Drama,Romance",6.2,35048,Barry Levinson,Barry Levinson,"Oct 13, 2006",20000000,37442180,41342180,2006,10,13
The Good Night,93,"Comedy,Drama,Fantasy",5.7,8724,Jake Paltrow,Jake Paltrow,"Oct 5, 2007",15000000,22441,22441,2007,10,5
American Teen,95,Documentary,6.4,4226,Nanette Burstein,Nanette Burstein,"Jul 25, 2008",5000000,942441,989319,2008,7,25
What Just Happened,104,"Comedy,Drama",5.6,28451,Barry Levinson,Art Linson,"Oct 17, 2008",27000000,1090947,2412123,2008,10,17
Wild Hogs,100,"Action,Adventure,Comedy",5.8,122998,Walt Becker,Brad Copeland,"Mar 2, 2007",60000000,168213584,253555383,2007,3,2
Who Killed the Electric Car?,92,Documentary,7.6,12738,Chris Paine,Chris Paine,"Jun 28, 2006",1000000,1678874,1849392,2006,6,28
Venus,95,"Comedy,Drama,Romance",7.1,13384,Roger Michell,Hanif Kureishi,"Dec 21, 2006",6000000,3347411,7818479,2006,12,21
Phat Girlz,99,Comedy,3.3,9402,Nnegest Likké,Nnegest Likké,"Apr 7, 2006",3000000,7061128,7301115,2006,4,7
Reign Over Me,124,Drama,7.4,99360,Mike Binder,Mike Binder,"Mar 23, 2007",20000000,19661987,20081987,2007,3,23
An Inconvenient Truth,96,Documentary,7.4,85042,Davis Guggenheim,Al Gore,"May 24, 2006",1000000,24146161,53365925,2006,5,24
Vicky Cristina Barcelona,96,"Comedy,Drama,Romance",7.1,267883,Woody Allen,Woody Allen,"Aug 15, 2008",16000000,23216709,104504817,2008,8,15
Hostel: Part II,94,Horror,5.5,95503,Eli Roth,Eli Roth,"Jun 8, 2007",7500000,17544812,33606409,2007,6,8
We Own the Night,117,"Action,Crime,Drama",6.8,92469,James Gray,James Gray,"Oct 12, 2007",28000000,28563179,55307857,2007,10,12
Avatar,162,"Action,Adventure,Fantasy",7.9,1378288,James Cameron,James Cameron,"Dec 17, 2009",237000000,785221649,2923706026,2009,12,17
Music and Lyrics,104,"Comedy,Music,Romance",6.5,106929,Marc Lawrence,Marc Lawrence,"Feb 14, 2007",40000000,50572589,146196885,2007,2,14
The Nativity Story,101,"Adventure,Drama,Family",6.8,12330,Catherine Hardwicke,Mike Rich,"Dec 1, 2006",35000000,37629831,46309644,2006,12,1
A Thousand Words,91,"Comedy,Drama,Fantasy",5.8,44579,Brian Robbins,Steve Koren,"Mar 9, 2012",40000000,18450127,20790486,2012,3,9
Eastern Promises,100,"Crime,Drama,Thriller",7.6,259506,David Cronenberg,Steven Knight,"Sep 14, 2007",50000000,17181265,56077088,2007,9,14
The Savages,114,"Comedy,Drama",7.1,38546,Tamara Jenkins,Tamara Jenkins,"Nov 28, 2007",9000000,6623082,10642023,2007,11,28
In Bruges,107,"Comedy,Crime,Drama",7.9,459127,Martin McDonagh,Martin McDonagh,"Feb 8, 2008",15000000,7800825,34527095,2008,2,8
The Dead Girl,85,"Crime,Drama,Mystery",6.6,16127,Karen Moncrieff,Karen Moncrieff,"Dec 29, 2006",3300000,19875,19875,2006,12,29
The Brothers Solomon,93,Comedy,5.3,11449,Bob Odenkirk,Will Forte,"Sep 7, 2007",10000000,900926,900926,2007,9,7
Over Her Dead Body,95,"Comedy,Fantasy,Romance",5.3,25528,Jeff Lowell,Jeff Lowell,"Feb 1, 2008",10000000,7570127,21596074,2008,2,1
Hot Rod,88,"Comedy,Sport",6.7,92872,Akiva Schaffer,Pam Brady,"Aug 3, 2007",25000000,13938332,14371564,2007,8,3
Georgia Rule,113,"Comedy,Drama",5.9,26474,Garry Marshall,Mark Andrus,"May 11, 2007",20000000,18882880,20819601,2007,5,11
Death at a Funeral,90,Comedy,7.3,120496,Frank Oz,Dean Craig,"Aug 17, 2007",20000000,8580428,47289148,2007,8,17
Mamma Mia!,108,"Comedy,Musical,Romance",6.5,271677,Phyllida Lloyd,Catherine Johnson,"Jul 2, 2008",52000000,144540088,586265197,2008,7,2
Be Kind Rewind,102,Comedy,6.4,94030,Michel Gondry,Michel Gondry,"Feb 22, 2008",20000000,11175164,30894247,2008,2,22
Forgetting Sarah Marshall,111,"Comedy,Drama,Romance",7.1,300975,Nicholas Stoller,Jason Segel,"Apr 18, 2008",30000000,63172463,105475310,2008,4,18
Deception,107,"Crime,Drama,Mystery",6.0,40722,Marcel Langenegger,Mark Bomback,"Apr 25, 2008",25000000,4598506,12850033,2008,4,25
Rendition,122,"Drama,Thriller",6.8,58067,Gavin Hood,Kelley Sane,"Oct 19, 2007",27500000,9736045,26939925,2007,10,19
Lars and the Real Girl,106,"Comedy,Drama,Romance",7.3,154428,Craig Gillespie,Nancy Oliver,"Oct 12, 2007",12500000,5956480,11277119,2007,10,12
Seven Pounds,123,"Drama,Mystery,Thriller",7.6,314202,Gabriele Muccino,Grant Nieporte,"Dec 19, 2008",54000000,69951824,166617328,2008,12,19
Religulous,101,"Comedy,Documentary,War",7.6,60164,Larry Charles,Bill Maher,"Oct 1, 2008",2500000,13011160,13881317,2008,10,1
Sydney White,108,"Comedy,Drama,Romance",6.2,50883,Joe Nussbaum,Chad Gomez Creasey,"Sep 21, 2007",16500000,11892415,13636339,2007,9,21
Changeling,141,"Biography,Crime,Drama",7.8,264526,Clint Eastwood,J. Michael Straczynski,"Oct 24, 2008",55000000,35739802,113805580,2008,10,24
The Bucket List,97,"Adventure,Comedy,Drama",7.4,258641,Rob Reiner,Justin Zackham,"Dec 25, 2007",45000000,93466502,174807445,2007,12,25
And Then Came Love,90,"Comedy,Romance",4.6,559,Richard Schenkman,Caytha Jentis,"Jun 1, 2007",989000,8158,8158,2007,6,1
"Definitely, Maybe",112,"Comedy,Drama,Romance",7.1,172732,Adam Brooks,Adam Brooks,"Feb 14, 2008",7000000,32241649,55617866,2008,2,14
Semi-Pro,91,"Comedy,Sport",5.8,85725,Kent Alterman,Scot Armstrong,"Feb 29, 2008",55000000,33479698,43980363,2008,2,29
The Forbidden Kingdom,104,"Action,Adventure,Fantasy",6.5,109241,Rob Minkoff,John Fusco,"Apr 18, 2008",55000000,52075270,129075270,2008,4,18
My Life in Ruins,98,"Comedy,Romance",5.9,20816,Donald Petrie,Mike Reiss,"Jun 5, 2009",17000000,8677425,20477425,2009,6,5
Frost/Nixon,122,"Biography,Drama,History",7.7,112126,Ron Howard,Peter Morgan,"Dec 5, 2008",29000000,18622031,28452945,2008,12,5
Baby Mama,99,"Comedy,Romance",6.0,47275,Michael McCullers,Michael McCullers,"Apr 25, 2008",30000000,60494212,64170447,2008,4,25
My Soul to Take,107,"Horror,Mystery,Thriller",4.7,21535,Wes Craven,Wes Craven,"Oct 8, 2010",25000000,14744435,16727470,2010,10,8
Red State,88,"Action,Crime,Horror",6.1,66729,Kevin Smith,Kevin Smith,"Sep 23, 2011",4000000,1065429,1983596,2011,9,23
Please Give,87,"Comedy,Drama",6.6,11564,Nicole Holofcener,Nicole Holofcener,"Apr 30, 2010",3000000,4033574,4566662,2010,4,30
All About Steve,99,"Comedy,Family,Romance",4.8,44305,Phil Traill,Kim Barker,"Sep 4, 2009",15000000,33862903,40127259,2009,9,4
Lions for Lambs,92,"Crime,Drama,Mystery",6.2,52389,Robert Redford,Matthew Michael Carnahan,"Nov 9, 2007",35000000,14998070,63211088,2007,11,9
Why Did I Get Married?,113,"Comedy,Drama,Romance",5.9,13740,Tyler Perry,Tyler Perry,"Oct 12, 2007",15000000,55204525,55934178,2007,10,12
Once,86,"Drama,Music,Romance",7.8,120933,John Carney,John Carney,"May 16, 2007",150000,9445857,23151269,2007,5,16
Armored,88,"Action,Crime,Mystery",5.7,31729,Nimród Antal,James V. Simpson,"Dec 4, 2009",20000000,15988876,23661038,2009,12,4
Doubt,104,"Drama,Mystery",7.5,135665,John Patrick Shanley,John Patrick Shanley,"Dec 12, 2008",20000000,33446470,53191101,2008,12,12
Prom Night,88,Horror,3.9,38020,Nelson McCormick,J.S. Cardone,"Apr 11, 2008",18000000,43869350,57193655,2008,4,11
Rabbit Hole,91,Drama,7.0,51008,John Cameron Mitchell,David Lindsay-Abaire,"Dec 17, 2010",5000000,2229058,6205034,2010,12,17
Redacted,90,"Crime,Thriller,War",6.1,11227,Brian De Palma,Brian De Palma,"Nov 16, 2007",5000000,65388,861325,2007,11,16
This Christmas,119,"Comedy,Drama,Romance",6.4,10428,Preston A. Whitmore II,Preston A. Whitmore II,"Nov 21, 2007",13000000,49121934,49733545,2007,11,21
The Last Airbender,103,"Action,Adventure,Family",4.0,172783,M. Night Shyamalan,M. Night Shyamalan,"Jul 1, 2010",150000000,131772187,319713881,2010,7,1
Good Dick,86,"Comedy,Drama,Romance",6.3,8234,Marianna Palka,Marianna Palka,"Oct 10, 2008",200000,28835,52443,2008,10,10
Salt,100,"Action,Thriller",6.4,328906,Phillip Noyce,Kurt Wimmer,"Jul 23, 2010",130000000,118311368,290650494,2010,7,23
Source Code,93,"Action,Drama,Mystery",7.5,546900,Duncan Jones,Ben Ripley,"Apr 1, 2011",32000000,54712227,140428499,2011,4,1
The Happening,91,"Adventure,Drama,Sci-Fi",5.0,215697,M. Night Shyamalan,M. Night Shyamalan,"Jun 13, 2008",60000000,64506874,162778384,2008,6,13
Shotgun Stories,92,"Drama,Thriller",7.1,11200,Jeff Nichols,Jeff Nichols,"Dec 14, 2007",250000,46026,284174,2007,12,14
Reach Me,95,"Comedy,Crime,Drama",4.9,3233,John Herzfeld,John Herzfeld,"Nov 21, 2014",5000000,0,0,2014,11,21
High School Musical 3: Senior Year,112,"Comedy,Drama,Family",5.0,67115,Kenny Ortega,Peter Barsocchini,"Oct 24, 2008",11000000,90559416,274392880,2008,10,24
The Young Victoria,105,"Biography,Drama,History",7.2,66114,Jean-Marc Vallée,Julian Fellowes,"Dec 18, 2009",35000000,11001272,31878891,2009,12,18
The International,118,"Action,Crime,Drama",6.5,99422,Tom Tykwer,Eric Warren Singer,"Feb 13, 2009",50000000,25450527,53850527,2009,2,13
The Ruins,90,"Adventure,Horror,Thriller",5.9,82818,Carter Smith,Scott B. Smith,"Apr 4, 2008",25000000,17432844,22910563,2008,4,4
A Perfect Getaway,98,"Drama,Mystery,Thriller",6.5,76166,David Twohy,David Twohy,"Aug 7, 2009",14000000,15515460,22815460,2009,8,7
17 Again,102,"Comedy,Drama,Fantasy",6.4,215142,Burr Steers,Jason Filardi,"Apr 17, 2009",40000000,64167069,139474906,2009,4,17
Frozen River,97,"Crime,Drama",7.1,26406,Courtney Hunt,Courtney Hunt,"Aug 1, 2008",1000000,2511476,6030129,2008,8,1
27 Dresses,111,"Comedy,Romance",6.1,173806,Anne Fletcher,Aline Brosh McKenna,"Jan 18, 2008",30000000,76808654,160247805,2008,1,18
The Mist,55,"Fantasy,Horror",5.9,51,Jesse Jokela,Jesse Jokela,"Nov 21, 2007",13000000,25593755,57189408,2007,11,21
Bled,95,Horror,2.8,1010,Christopher Hutson,Sxv'leithan Essex,"Apr 7, 2009",750000,0,0,2009,4,7
The Little Things,128,"Crime,Drama,Mystery",6.3,122887,John Lee Hancock,John Lee Hancock,"Jan 28, 2021",30000000,15342746,29735222,2021,1,28
Countdown,90,"Horror,Thriller",5.4,44909,Justin Dec,Justin Dec,"Oct 25, 2019",6500000,25621766,42176201,2019,10,25
Unhinged,90,"Action,Thriller",6.0,76079,Derrick Borte,Carl Ellsworth,"Jul 16, 2020",33000000,20831465,37339104,2020,7,16
The Open Road,91,"Comedy,Drama",5.5,3727,Michael Meredith,Michael Meredith,"Aug 28, 2009",10000000,19716,19716,2009,8,28
Zack and Miri Make a Porno,101,"Comedy,Romance",6.5,181888,Kevin Smith,Kevin Smith,"Oct 31, 2008",24000000,31457946,36856306,2008,10,31
Rogue City,116,"Action,Crime,Drama",6.1,9904,Olivier Marchal,Olivier Marchal,"Oct 30, 2020",13000000,0,8573,2020,10,30
